        2       1      27       5       1       2
 CO2_6-31G                                                                       
 aoints SIFS file created by argos.      colosse1          12:04:00.930 23-Jun-14
       27
     a
        2    4096    3272    4096    2700
     1C__1s    2C__1s    3C__1s    4C__2p    5C__2p    6C__2p    7C__2p    8C__2p
     9C__2p   10O__1s   11O__1s   12O__1s   13O__2p   14O__2p   15O__2p   16O__2p
    17O__2p   18O__2p   19O__1s   20O__1s   21O__1s   22O__2p   23O__2p   24O__2p
    25O__2p   26O__2p   27O__2p
       -1
  -2.413258542725E-02  10   4
  -4.352493577602E-02  10   7
  -1.407124522488E-01  11   4
  -2.144898151907E-01  11   7
  -1.594614193349E-01  12   4
  -2.946189137248E-01  12   7
   1.227031902939E-02  13   1
   1.035380719939E-01  13   2
   6.832552420267E-02  13   3
  -1.842398928221E-01  13   6
  -1.842398928221E-01  15   4
  -1.067922905896E-01  13   9
  -1.067922905896E-01  15   7
   7.318716373207E-02  16   1
   2.721972110185E-01  16   2
   2.328896311953E-01  16   3
  -2.522143060419E-01  16   6
  -2.522143060419E-01  18   4
  -2.581062649952E-01  16   9
  -2.581062649952E-01  18   7
   1.514017816490E+00  13  10
   6.868735067191E-01  13  11
   2.606005684139E-01  13  12
   1.684337160678E-01  16  10
   6.158950261001E-01  16  11
   5.196208232933E-01  16  12
  -2.413258542725E-02  19   4
  -4.352493577602E-02  19   7
  -1.407124522488E-01  20   4
  -2.144898151907E-01  20   7
  -1.594614193349E-01  21   4
  -2.946189137248E-01  21   7
   1.227031902939E-02  22   1
   1.035380719939E-01  22   2
   6.832552420267E-02  22   3
   1.842398928221E-01  22   6
   1.842398928221E-01  24   4
   1.067922905896E-01  22   9
   1.067922905896E-01  24   7
   7.318716373207E-02  25   1
   2.721972110185E-01  25   2
   2.328896311953E-01  25   3
   2.522143060419E-01  25   6
   2.522143060419E-01  27   4
   2.581062649952E-01  25   9
   2.581062649952E-01  27   7
  -1.918093962925E-08  19  13
  -1.105453979079E-03  19  16
