        2       1      27       6       1       2
                                                                                 
 aoints SIFS file created by argos.      colosse3          08:39:35.718 03-Nov-17
       27
     a
        2    4096    3272    4096    2700       0
     1O__1s    2O__1s    3O__1s    4O__2p    5O__2p    6O__2p    7O__2p    8O__2p
     9O__2p   10C__1s   11C__1s   12C__1s   13C__2p   14C__2p   15C__2p   16C__2p
    17C__2p   18C__2p   19O__1s   20O__1s   21O__1s   22O__2p   23O__2p   24O__2p
    25O__2p   26O__2p   27O__2p
       -1
   6.382711632036E-08  19   4
   8.262485928422E-03  19   7
  -1.258276095717E-08  20   1
   1.397612869973E-02  20   3
   1.487838922128E-05  20   4
   5.544828665251E-02  20   7
  -1.818463364466E-03  21   1
  -1.397612869973E-02  21   2
  -1.379988652657E-02  21   4
   6.353609354061E-02  21   7
   6.382711632036E-08  22   1
   1.487838922128E-05  22   2
  -1.379988652657E-02  22   3
  -4.898835027812E-02  22   7
   8.551268294662E-03  23   8
   8.551268294662E-03  24   9
   8.262485928422E-03  25   1
   5.544828665251E-02  25   2
   6.353609354061E-02  25   3
   4.898835027812E-02  25   4
  -8.551268294662E-03  26   5
  -8.551268294662E-03  27   6
   6.231456584033E-06  19  10
   4.956501088423E-02  19  11
   1.144717704890E-01  19  12
   1.024619019451E-01  19  13
   2.093048736633E-01  19  16
   4.274431385513E-03  20  10
   2.695432946927E-01  20  11
   5.669707314535E-01  20  12
   4.613129887068E-01  20  13
   9.955516701480E-01  20  16
   8.834907718226E-03  21  10
   3.054201892919E-01  21  11
   7.857736385943E-01  21  12
   5.182980297811E-01  21  13
   1.424069220585E+00  21  16
  -8.574541452981E-03  22  10
  -2.429828293671E-01  22  11
  -9.280483398473E-02  22  12
  -3.415360075199E-01  22  13
   1.419397253218E-01  23  14
   1.419397253218E-01  24  15
   1.165777515287E-01  22  16
   3.132704171491E-01  23  17
   3.132704171491E-01  24  18
  -1.159355009691E-02  25  10
  -2.099934015658E-01  25  11
  -3.040311434660E-02  25  12
  -4.263146883226E-01  25  13
   2.018760202755E-01  26  14
   2.018760202755E-01  27  15
   2.523320209173E-01  25  16
   7.645439253633E-01  26  17
   7.645439253633E-01  27  18
   2.243343030000E+00  19  19
   5.242466219392E-01  20  19
   2.243343030000E+00  20  20
   3.752658827495E-01  21  19
   1.713108206293E+00  21  20
   2.243343030000E+00  21  21
   7.270778062967E-02  22  19
   4.960752843665E-01  22  20
   4.825832786071E-01  22  21
   2.243343030000E+00  22  22
   2.243343030000E+00  23  23
   2.243343030000E+00  24  24
   1.001900095342E-02  25  19
   3.290897243406E-01  25  20
   9.622401135333E-01  25  21
   1.125082834556E+00  25  22
   1.125082834556E+00  26  23
   1.125082834556E+00  27  24
   2.243343030000E+00  25  25
   2.243343030000E+00  26  26
   2.243343030000E+00  27  27
      78     80      0      2      3      0      1      2
   0.000000000000E+00
   1.514017816490E+00   5   1
   6.868735067191E-01   5   2
   2.606005684139E-01   5   3
   1.684337160678E-01   8   1
   6.158950261001E-01   8   2
   5.196208232933E-01   8   3
  -1.016883151730E-02  10   5
  -6.906276376389E-02  10   8
  -9.575673429022E-02  11   5
  -2.616879312937E-01  11   8
  -6.608819202205E-02  12   5
  -2.274559850587E-01  12   8
   2.143944654454E-02  14   1
   1.292647042092E-01  14   2
   1.528090402573E-01  14   3
   1.715205336562E-01  13   5
   1.715205336562E-01  14   4
   2.472398605895E-01  13   8
   2.472398605895E-01  14   7
   4.191879450528E-02  17   1
